epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12291,1.54684,4.98062,1.36195,0.0012,0.32571,0.07211,0.01824,1.32362,4.61199,1.30313,7e-05,7e-05,7e-05
2,9.99646,1.31783,4.48798,1.17871,0.00221,0.32571,0.11701,0.06123,1.24863,4.50865,1.18785,0.000148515,0.000148515,0.000148515
3,12.6503,1.28561,3.73295,1.16895,0.00577,0.40286,0.14964,0.08599,1.22346,4.3377,1.16577,0.000225446,0.000225446,0.000225446
4,15.064,1.30438,3.76762,1.19095,0.00679,0.44286,0.20786,0.11851,1.20957,4.19483,1.14275,0.000300793,0.000300793,0.000300793
5,17.5785,1.23715,3.28375,1.18916,0.00372,0.42762,0.17731,0.10685,1.34231,4.03639,1.20751,0.000374556,0.000374556,0.000374556
6,20.2881,1.19825,2.8404,1.11014,0.00341,0.42762,0.22385,0.13946,1.20192,3.90701,1.16573,0.000446735,0.000446735,0.000446735
7,23.4643,1.22963,2.70306,1.15446,0.00283,0.44095,0.23323,0.13932,1.23518,3.76831,1.21417,0.00051733,0.00051733,0.00051733
8,25.8198,1.2303,2.57545,1.11363,0.00289,0.66429,0.42011,0.25194,1.19961,3.48612,1.26286,0.000586341,0.000586341,0.000586341
9,28.268,1.19351,2.56293,1.17544,1,0.03259,0.56576,0.39851,1.16102,3.18355,1.19493,0.000653768,0.000653768,0.000653768
10,31.0752,1.13274,2.2016,1.12426,0.99793,0.15581,0.6606,0.4649,1.12962,2.91777,1.20906,0.000719611,0.000719611,0.000719611
11,33.3891,1.18202,2.16046,1.12504,0.97616,0.13591,0.58991,0.37667,1.19544,2.86394,1.26031,0.00078387,0.00078387,0.00078387
12,35.6704,1.1358,2.13255,1.13694,0.87339,0.27994,0.6237,0.41324,1.23946,2.49936,1.27164,0.000846545,0.000846545,0.000846545
13,37.97,1.14031,2.03468,1.12176,0.65032,0.468,0.64963,0.4348,1.19127,2.30162,1.21786,0.0008812,0.0008812,0.0008812
14,40.2008,1.04435,1.9016,1.07181,0.84669,0.51758,0.68325,0.4684,1.21133,2.29659,1.2288,0.0008713,0.0008713,0.0008713
15,42.5484,1.0622,1.85776,1.10659,0.72135,0.66451,0.74396,0.48061,1.26383,1.63685,1.27876,0.0008614,0.0008614,0.0008614
16,44.7795,1.06877,1.92316,1.09026,0.78693,0.69297,0.83477,0.60767,1.05701,1.58968,1.19753,0.0008515,0.0008515,0.0008515
17,47.0221,1.09895,1.8277,1.13435,0.84448,0.66194,0.81987,0.60817,1.01138,1.79716,1.19102,0.0008416,0.0008416,0.0008416
18,49.2878,1.13316,1.91998,1.19647,0.88738,0.6876,0.84952,0.63324,1.00785,1.16159,1.14633,0.0008317,0.0008317,0.0008317
19,51.4648,1.06421,1.8097,1.11537,0.75056,0.77977,0.76025,0.55528,1.07172,1.35058,1.1525,0.0008218,0.0008218,0.0008218
20,53.78,1.00894,1.76554,1.06853,0.78539,0.68498,0.82864,0.57056,1.1357,1.506,1.17288,0.0008119,0.0008119,0.0008119
