epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.01401,1.5499,4.97372,1.36585,0.0015,0.33409,0.04183,0.01073,1.32288,4.61562,1.30315,7e-05,7e-05,7e-05
2,8.01387,1.34005,4.42152,1.18908,0.00303,0.33409,0.11005,0.06804,1.26908,4.46676,1.18489,0.000148515,0.000148515,0.000148515
3,10.2642,1.28154,3.50129,1.15627,0.00704,0.42045,0.15458,0.11299,1.1848,4.25797,1.14118,0.000225446,0.000225446,0.000225446
4,12.6215,1.30007,3.39789,1.18738,0.0112,0.51136,0.15482,0.0989,1.28619,4.07447,1.13788,0.000300793,0.000300793,0.000300793
5,14.9506,1.23009,3.04848,1.16437,0.00951,0.52273,0.14545,0.09525,1.24998,3.84863,1.09789,0.000374556,0.000374556,0.000374556
6,17.3126,1.16686,2.68083,1.12367,0.00906,0.52273,0.17347,0.12145,1.13966,3.80237,1.09719,0.000446735,0.000446735,0.000446735
7,19.5318,1.23938,2.57535,1.15519,0.00741,0.72386,0.34536,0.25482,1.17707,3.6465,1.12852,0.00051733,0.00051733,0.00051733
8,21.7814,1.1334,2.53452,1.10106,0.00512,0.80795,0.5096,0.34775,1.11213,3.45568,1.09784,0.000586341,0.000586341,0.000586341
9,24.1166,1.16055,2.50315,1.13385,0.95044,0.15,0.55347,0.38709,1.15241,3.18185,1.11598,0.000653768,0.000653768,0.000653768
10,26.3546,1.16842,2.25924,1.12072,1,0.12323,0.64544,0.42148,1.17004,3.14568,1.14881,0.000719611,0.000719611,0.000719611
11,28.5665,1.1518,2.18799,1.0988,0.86798,0.28019,0.5913,0.41649,1.13831,2.69569,1.1555,0.00078387,0.00078387,0.00078387
12,30.7877,1.10678,2.08461,1.08775,0.92822,0.20904,0.61696,0.41914,1.12409,2.75465,1.13696,0.000846545,0.000846545,0.000846545
13,33.0494,1.16669,2.03322,1.13075,0.95599,0.5594,0.81671,0.48931,1.08035,2.14919,1.12715,0.0008812,0.0008812,0.0008812
14,35.2859,1.02731,1.88236,1.0744,0.94965,0.47713,0.7163,0.43536,1.06781,2.35508,1.11349,0.0008713,0.0008713,0.0008713
15,37.4393,1.0791,1.91591,1.09946,0.76754,0.60868,0.74369,0.49313,1.18895,1.96245,1.16671,0.0008614,0.0008614,0.0008614
16,39.6708,1.07289,1.90699,1.08017,0.7905,0.56348,0.76895,0.52058,1.11509,1.85549,1.13645,0.0008515,0.0008515,0.0008515
17,41.8619,1.04164,1.74709,1.09117,0.83073,0.60455,0.77818,0.56108,1.01087,1.88964,1.1212,0.0008416,0.0008416,0.0008416
18,44.0646,1.1536,1.88459,1.19386,0.76181,0.59568,0.75373,0.53918,1.13142,1.79437,1.16214,0.0008317,0.0008317,0.0008317
19,46.215,1.04979,1.73147,1.10983,0.77649,0.58158,0.70308,0.47051,1.27365,1.96148,1.25003,0.0008218,0.0008218,0.0008218
