epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05387,1.27133,4.79015,1.22461,0.00279,0.45926,0.02893,0.01666,1.35663,4.32728,1.18285,7e-05,7e-05,7e-05
2,11.8227,1.28123,4.21449,1.0991,0.00427,0.45926,0.09475,0.04493,1.29487,4.17901,1.08512,0.000148515,0.000148515,0.000148515
3,14.3375,1.28234,3.53645,1.09832,0.00654,0.52593,0.1636,0.10025,1.26783,4.00537,1.03745,0.000225446,0.000225446,0.000225446
4,16.8956,1.20164,2.90613,1.06635,0.00826,0.62963,0.18126,0.10035,1.13233,3.86767,1.00345,0.000300793,0.000300793,0.000300793
5,19.4805,1.09066,2.56835,1.05662,0.00558,0.50741,0.1403,0.08645,1.22376,3.82778,1.05125,0.000374556,0.000374556,0.000374556
6,22.0818,1.17761,2.57566,1.0555,0.00595,0.61111,0.34337,0.24703,1.14215,3.69756,1.06492,0.000446735,0.000446735,0.000446735
7,25.0519,1.11704,2.3193,1.05838,0.00659,0.66667,0.44103,0.3057,1.11995,3.66844,1.05676,0.00051733,0.00051733,0.00051733
8,27.6276,1.06175,2.17264,1.03213,0.00692,0.77778,0.53658,0.38654,1.19488,3.39119,1.03346,0.000586341,0.000586341,0.000586341
9,30.2085,1.01041,2.06162,1.01273,0.94864,0.22241,0.53541,0.42172,1.17061,3.29768,1.02028,0.000653768,0.000653768,0.000653768
10,32.8601,1.02888,2.01303,1.01576,0.90151,0.2753,0.52426,0.41966,1.26812,3.22093,1.06969,0.000719611,0.000719611,0.000719611
11,35.4416,1.11006,1.96979,1.04388,0.81366,0.16066,0.5709,0.40371,1.26793,2.94818,1.10759,0.00078387,0.00078387,0.00078387
12,37.8187,1.01696,1.88432,1.05175,0.80874,0.44444,0.71147,0.51917,1.19627,2.58255,1.0732,0.000846545,0.000846545,0.000846545
13,40.3659,1.04139,1.9111,1.02059,0.93707,0.42022,0.69086,0.48957,1.19443,2.3968,1.04325,0.0008812,0.0008812,0.0008812
14,42.891,0.92466,1.69304,0.9643,0.81908,0.47098,0.67902,0.50456,1.11995,2.18911,1.04946,0.0008713,0.0008713,0.0008713
15,45.4265,0.94489,1.69447,0.99094,0.66876,0.69917,0.74985,0.59929,0.9771,1.84083,1.00461,0.0008614,0.0008614,0.0008614
16,47.9982,0.94964,1.63966,1.00161,0.82683,0.66667,0.71836,0.60151,0.9623,1.84523,0.99699,0.0008515,0.0008515,0.0008515
17,50.6369,0.94688,1.5788,1.02093,0.82918,0.66667,0.72118,0.59111,0.96991,1.67448,1.00626,0.0008416,0.0008416,0.0008416
18,53.1891,0.92827,1.5293,1.01062,0.84601,0.69319,0.74533,0.58825,1.04307,1.66537,1.04953,0.0008317,0.0008317,0.0008317
19,55.8686,0.95187,1.44918,1.02452,0.83929,0.7037,0.77926,0.57987,1.14029,1.54498,1.03995,0.0008218,0.0008218,0.0008218
20,58.6015,0.89454,1.47524,0.95252,0.80553,0.7037,0.8287,0.63181,1.07061,1.23318,1.02029,0.0008119,0.0008119,0.0008119
21,61.0828,0.92279,1.39028,0.99509,0.83964,0.83098,0.85327,0.6675,1.03122,1.10367,1.02958,0.000802,0.000802,0.000802
22,63.6185,0.8927,1.32988,0.98215,0.86264,0.73309,0.83696,0.65939,1.0221,1.19816,1.0195,0.0007921,0.0007921,0.0007921
23,66.2912,0.80081,1.37153,0.96535,0.81148,0.83208,0.82878,0.63055,1.0485,1.11099,1.0055,0.0007822,0.0007822,0.0007822
24,68.9084,0.83104,1.27722,0.95487,0.78638,0.88889,0.8487,0.60019,1.12419,1.15982,1.05927,0.0007723,0.0007723,0.0007723
25,71.7078,0.87838,1.28909,0.97409,0.80671,0.72222,0.79805,0.58111,1.05037,1.20046,1.04077,0.0007624,0.0007624,0.0007624
26,74.3782,0.85175,1.22834,0.95699,0.84367,0.81848,0.8812,0.66953,0.98076,1.02131,1.01509,0.0007525,0.0007525,0.0007525
27,77.1209,0.91736,1.33241,1.00624,0.90926,0.87037,0.907,0.67523,1.0369,0.9566,1.02194,0.0007426,0.0007426,0.0007426
28,79.7378,0.83677,1.18831,0.96074,0.92633,0.8299,0.87734,0.68415,0.9794,0.96227,1.02367,0.0007327,0.0007327,0.0007327
29,82.2852,0.76472,1.17649,0.94503,0.86811,0.77872,0.86068,0.70976,1.00089,1.04122,1.00935,0.0007228,0.0007228,0.0007228
30,84.7893,0.83272,1.22493,0.9837,0.87974,0.85156,0.89033,0.70897,1.01596,1.0001,1.02444,0.0007129,0.0007129,0.0007129
31,87.2905,0.84083,1.16197,0.97552,0.86992,0.8584,0.88656,0.70369,0.95566,0.92088,1.02754,0.000703,0.000703,0.000703
32,89.7649,0.80193,1.19184,0.93376,0.87699,0.81481,0.84659,0.65975,1.03723,1.01146,1.07563,0.0006931,0.0006931,0.0006931
33,92.3504,0.76292,1.08058,0.91291,0.90523,0.84888,0.89216,0.68389,0.99455,0.89087,1.04176,0.0006832,0.0006832,0.0006832
34,94.8468,0.76385,1.06785,0.94843,0.91337,0.88465,0.90352,0.71092,0.92075,0.77518,0.98239,0.0006733,0.0006733,0.0006733
35,97.4557,0.81231,1.04425,0.9344,0.90546,0.87977,0.89441,0.72139,0.90307,0.80798,0.98758,0.0006634,0.0006634,0.0006634
36,99.9945,0.81591,1.06128,0.96841,0.91762,0.88889,0.89081,0.727,0.85689,0.80233,0.96867,0.0006535,0.0006535,0.0006535
37,102.566,0.7448,0.94464,0.90507,0.90504,0.85067,0.90467,0.70991,0.89391,0.83415,0.96423,0.0006436,0.0006436,0.0006436
38,105.146,0.75166,0.95982,0.92457,0.85546,0.87494,0.89916,0.68336,0.91792,0.77363,0.96354,0.0006337,0.0006337,0.0006337
39,107.682,0.72117,0.95654,0.92019,0.94207,0.81348,0.89891,0.71469,0.91453,0.77783,0.96421,0.0006238,0.0006238,0.0006238
40,110.165,0.76787,1.03331,0.94382,0.93443,0.88889,0.91632,0.74262,0.90542,0.79884,0.98719,0.0006139,0.0006139,0.0006139
