epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73478,1.28207,4.77369,1.20058,0.00093,0.27143,0.08353,0.02549,1.47589,4.67308,1.32376,8e-05,8e-05,8e-05
2,8.58064,1.45097,4.36478,1.27272,0.00221,0.3119,0.07155,0.04244,1.48924,4.5534,1.29099,0.000168317,0.000168317,0.000168317
3,11.185,1.30769,3.56363,1.17591,0.00299,0.34524,0.06329,0.0392,1.47197,4.36249,1.23036,0.000254852,0.000254852,0.000254852
4,13.6528,1.30564,3.2923,1.18091,0.00316,0.40238,0.13491,0.0685,1.37852,4.13459,1.15547,0.000339605,0.000339605,0.000339605
5,16.224,1.27098,3.02749,1.14075,0.00351,0.46905,0.18154,0.12436,1.33957,3.96498,1.16212,0.000422576,0.000422576,0.000422576
6,18.8412,1.40571,2.88623,1.20545,0.00251,0.5369,0.24885,0.14928,1.24019,3.82167,1.19428,0.000503765,0.000503765,0.000503765
7,21.3589,1.21798,2.65076,1.10578,0.00237,0.6369,0.24881,0.16568,1.24403,3.70503,1.20484,0.000583172,0.000583172,0.000583172
8,23.892,1.14441,2.51121,1.08997,0.98229,0.10441,0.48561,0.32539,1.17263,3.38537,1.17197,0.000660797,0.000660797,0.000660797
9,26.411,1.18403,2.40067,1.126,1,0.04667,0.34411,0.2679,1.18874,3.39953,1.16773,0.00073664,0.00073664,0.00073664
10,29.8674,1.22093,2.36481,1.13117,0.93417,0.09413,0.41546,0.27463,1.26098,3.22619,1.2162,0.000810701,0.000810701,0.000810701
11,32.3474,1.21754,2.14344,1.1664,0.84436,0.09762,0.41048,0.21492,1.31411,3.01308,1.23854,0.00088298,0.00088298,0.00088298
12,34.8148,1.15902,2.06552,1.10318,0.8323,0.47524,0.6916,0.40766,1.26779,2.36104,1.26772,0.0008911,0.0008911,0.0008911
13,37.2715,1.15445,2.12738,1.1624,0.71395,0.42617,0.73651,0.4615,1.31511,2.16366,1.26986,0.0008812,0.0008812,0.0008812
14,39.8972,1.05617,2.0418,1.08323,0.70788,0.63413,0.80792,0.54113,1.23979,1.57749,1.27296,0.0008713,0.0008713,0.0008713
