epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06039,1.40519,5.08693,1.29055,0.00252,0.41905,0.07415,0.02769,1.17934,4.16581,1.163,7e-05,7e-05,7e-05
2,8.42693,1.31204,4.55494,1.15615,0.0037,0.37143,0.09128,0.05268,1.15159,4.06672,1.1553,0.000148515,0.000148515,0.000148515
3,10.583,1.18923,3.6814,1.09234,0.00454,0.37143,0.21622,0.10402,1.28127,3.89129,1.13261,0.000225446,0.000225446,0.000225446
4,12.7237,1.14779,3.03893,1.1044,0.00972,0.57143,0.22466,0.12395,1.15597,3.8592,1.14368,0.000300793,0.000300793,0.000300793
5,14.873,1.10563,2.79808,1.04241,0.00907,0.61905,0.25452,0.14394,1.06863,3.70023,1.13481,0.000374556,0.000374556,0.000374556
6,17.0258,1.03208,2.7179,1.00424,0.006,0.52381,0.24336,0.18183,1.07851,3.62362,1.1393,0.000446735,0.000446735,0.000446735
7,19.0871,1.12553,2.42003,1.04902,0.00602,0.59048,0.43965,0.3452,1.05857,3.46395,1.11306,0.00051733,0.00051733,0.00051733
8,21.0685,0.96359,2.33952,0.99619,1,0.09179,0.26409,0.19563,1.14156,3.60311,1.1893,0.000586341,0.000586341,0.000586341
9,23.1607,1.14422,2.25169,1.07707,0.00613,0.7381,0.63294,0.46639,1.12418,3.15477,1.13087,0.000653768,0.000653768,0.000653768
10,25.1428,1.12165,2.01668,1.08794,0.99369,0.33333,0.52011,0.40547,1.08173,2.97806,1.1445,0.000719611,0.000719611,0.000719611
11,27.2812,1.05717,2.06862,1.05082,1,0.05686,0.64447,0.44964,1.04728,2.92752,1.15061,0.00078387,0.00078387,0.00078387
12,29.2762,1.16629,2.07737,1.11773,0.00756,0.80476,0.59188,0.43709,1.23312,3.00165,1.14902,0.000846545,0.000846545,0.000846545
13,31.2715,1.01152,1.94437,1.05203,0.99651,0.32753,0.6552,0.44518,1.10261,2.46514,1.13764,0.0008812,0.0008812,0.0008812
14,33.3588,0.87323,2.84957,0.90432,0.67284,0.51189,0.64763,0.4638,1.20611,2.35786,1.18222,0.0008713,0.0008713,0.0008713
15,35.3841,0.98684,2.00075,1.04046,0.78087,0.52381,0.69178,0.46527,1.14288,2.02832,1.13277,0.0008614,0.0008614,0.0008614
16,37.4197,0.8732,1.88829,1.00158,0.99144,0.56183,0.83608,0.54166,1.13495,1.63212,1.13764,0.0008515,0.0008515,0.0008515
17,39.3696,1.0608,1.776,1.1089,0.86015,0.47873,0.8424,0.5753,1.21133,2.04243,1.27328,0.0008416,0.0008416,0.0008416
18,41.4073,0.99438,1.7904,1.0778,0.90968,0.49833,0.73505,0.53411,1.10371,2.11829,1.21785,0.0008317,0.0008317,0.0008317
19,43.436,1.01886,1.64783,1.05395,0.8147,0.62266,0.73724,0.54601,1.01162,1.75182,1.12408,0.0008218,0.0008218,0.0008218
20,45.4048,1.00679,1.59175,1.03544,0.94835,0.53324,0.77669,0.58,1.01141,1.40719,1.08554,0.0008119,0.0008119,0.0008119
21,47.4069,1.11633,1.58245,1.18243,0.67491,0.82929,0.787,0.56924,1.05394,1.59858,1.10162,0.000802,0.000802,0.000802
22,49.484,0.87472,1.45749,0.95468,0.68271,0.77556,0.85497,0.57759,1.07523,1.42293,1.18682,0.0007921,0.0007921,0.0007921
23,51.5112,0.8574,1.49708,1.02044,0.83856,0.7459,0.90593,0.65146,1.03582,1.19444,1.14999,0.0007822,0.0007822,0.0007822
24,53.5379,0.92255,1.51146,0.98786,0.78708,0.80476,0.84859,0.5506,1.02852,1.11565,1.1414,0.0007723,0.0007723,0.0007723
25,55.5298,0.89362,1.28562,0.99103,0.79716,0.88571,0.83285,0.51579,1.01312,1.03788,1.14104,0.0007624,0.0007624,0.0007624
26,57.5681,0.85121,1.31334,0.9849,0.77421,0.84433,0.84607,0.63722,0.95793,1.08052,1.10145,0.0007525,0.0007525,0.0007525
27,59.6307,0.8767,1.28307,1.02003,0.87354,0.74715,0.87007,0.65828,0.96356,1.03281,1.10428,0.0007426,0.0007426,0.0007426
28,61.6483,0.99768,1.31267,0.97917,0.79358,0.78571,0.85913,0.63015,0.90327,1.08204,1.06674,0.0007327,0.0007327,0.0007327
29,63.7865,0.90552,1.30578,1.01873,0.93223,0.83601,0.89256,0.66355,0.87145,0.93176,1.02073,0.0007228,0.0007228,0.0007228
30,65.9113,0.79393,1.38782,1.00637,0.93701,0.91919,0.9525,0.70979,0.90807,0.82958,1.04799,0.0007129,0.0007129,0.0007129
31,67.9154,0.8003,1.22027,0.9435,0.97004,0.83465,0.93237,0.71392,0.87656,0.81345,1.03592,0.000703,0.000703,0.000703
32,69.9712,0.80916,1.18087,0.93955,0.97419,0.88625,0.94949,0.67544,0.91193,0.75035,1.03534,0.0006931,0.0006931,0.0006931
33,71.9288,0.79608,1.11638,0.9357,0.98998,0.92442,0.96993,0.67109,0.95407,0.77888,1.0835,0.0006832,0.0006832,0.0006832
34,73.9396,0.81572,1.10559,0.93469,0.94561,0.94864,0.96713,0.68003,1.03002,0.83058,1.12592,0.0006733,0.0006733,0.0006733
35,76.0234,0.76151,1.08315,0.91313,0.95011,0.96444,0.95088,0.67695,0.99224,0.74472,1.11553,0.0006634,0.0006634,0.0006634
36,78.0869,0.70892,1.13992,0.98475,0.90874,0.95168,0.94104,0.68403,0.9396,0.73877,1.11872,0.0006535,0.0006535,0.0006535
37,80.1281,0.75502,0.98325,0.93256,0.89793,0.91204,0.93375,0.69358,0.89191,0.77578,1.11124,0.0006436,0.0006436,0.0006436
38,82.164,0.74306,1.03768,0.9293,0.90795,0.92839,0.93412,0.68901,0.86953,0.70741,1.11774,0.0006337,0.0006337,0.0006337
39,84.1805,0.72532,1.0313,0.89459,0.93115,0.92742,0.95226,0.69273,0.897,0.72224,1.12001,0.0006238,0.0006238,0.0006238
40,86.1222,0.77439,1.03491,0.94645,0.96256,0.9,0.97461,0.69771,0.90173,0.77746,1.10396,0.0006139,0.0006139,0.0006139
41,88.1735,0.81584,1.05203,0.93556,0.94451,0.9452,0.97119,0.72296,0.89495,0.8181,1.10624,0.000604,0.000604,0.000604
42,90.223,0.77223,0.96008,0.90697,0.91035,0.9,0.96004,0.74343,0.82589,0.78321,1.09859,0.0005941,0.0005941,0.0005941
43,92.2969,0.80621,0.94875,0.93262,0.93272,0.9,0.94282,0.73541,0.84089,0.69951,1.08904,0.0005842,0.0005842,0.0005842
44,94.3302,0.88816,0.97763,0.92062,0.93828,0.9,0.9226,0.69038,0.93485,0.68042,1.13956,0.0005743,0.0005743,0.0005743
45,96.3237,0.7555,0.94913,0.90376,0.91812,0.9279,0.93723,0.72847,0.90639,0.69165,1.13029,0.0005644,0.0005644,0.0005644
46,98.2793,0.781,0.98781,0.96011,0.91257,0.93269,0.96974,0.77042,0.79104,0.64773,1.08314,0.0005545,0.0005545,0.0005545
47,100.336,0.72469,1.04802,0.95705,0.90892,0.93333,0.96444,0.76856,0.75869,0.61923,1.0457,0.0005446,0.0005446,0.0005446
48,102.379,0.71315,0.91,0.9258,0.91178,0.92561,0.96155,0.75289,0.78119,0.65069,1.02892,0.0005347,0.0005347,0.0005347
49,104.351,0.71683,1.1471,0.98773,0.94391,0.9,0.95821,0.76093,0.76293,0.64177,1.01951,0.0005248,0.0005248,0.0005248
50,106.384,0.73467,0.84557,0.91061,0.96421,0.9,0.96643,0.76771,0.76903,0.71277,1.04226,0.0005149,0.0005149,0.0005149
