epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,173.593,1.21773,1.2097,1.13989,0.64611,0.75779,0.76857,0.51635,1.34674,1.23719,1.30813,0.0005941,0.0005941,0.0005941
43,177.337,1.159,1.11103,1.11821,0.62932,0.68562,0.72403,0.49973,1.33018,1.25701,1.32909,0.0005842,0.0005842,0.0005842
44,181.062,1.16543,1.07393,1.1369,0.55154,0.85525,0.77322,0.49867,1.38431,1.199,1.34965,0.0005743,0.0005743,0.0005743
45,184.912,1.17956,1.08232,1.13932,0.5687,0.76779,0.7476,0.47033,1.40314,1.16956,1.36716,0.0005644,0.0005644,0.0005644
46,188.69,1.12699,1.04419,1.10242,0.60721,0.78078,0.7843,0.47857,1.35172,1.17308,1.32082,0.0005545,0.0005545,0.0005545
47,192.452,1.17173,1.08935,1.13324,0.66284,0.74363,0.78438,0.48085,1.36334,1.23038,1.2874,0.0005446,0.0005446,0.0005446
48,196.454,1.20452,1.10013,1.13868,0.60266,0.84454,0.75236,0.48334,1.29077,1.19683,1.25577,0.0005347,0.0005347,0.0005347
49,200.131,1.14713,1.07125,1.11645,0.63064,0.84137,0.76298,0.50954,1.33082,1.16276,1.29284,0.0005248,0.0005248,0.0005248
50,203.827,1.1586,1.09173,1.12716,0.66702,0.75472,0.77399,0.51072,1.2985,1.13281,1.30445,0.0005149,0.0005149,0.0005149
51,207.571,1.15985,1.09275,1.11526,0.72056,0.72349,0.78269,0.4918,1.31356,1.14607,1.30812,0.000505,0.000505,0.000505
52,211.27,1.11275,1.04803,1.07563,0.69118,0.71302,0.79397,0.5174,1.33161,1.20397,1.31898,0.0004951,0.0004951,0.0004951
53,214.964,1.16431,1.04204,1.11232,0.64005,0.73595,0.7609,0.5164,1.29227,1.26237,1.30128,0.0004852,0.0004852,0.0004852
54,218.674,1.10891,1.05371,1.09073,0.62686,0.74986,0.73986,0.50232,1.24855,1.19381,1.28008,0.0004753,0.0004753,0.0004753
55,222.474,1.1156,1.04862,1.10794,0.71169,0.68848,0.75894,0.50208,1.32257,1.17765,1.29637,0.0004654,0.0004654,0.0004654
56,226.173,1.12158,1.00524,1.09596,0.71065,0.68984,0.76347,0.50753,1.3471,1.17048,1.30429,0.0004555,0.0004555,0.0004555
57,229.917,1.12738,1.05543,1.11997,0.62281,0.82223,0.79099,0.5307,1.30419,1.18731,1.26166,0.0004456,0.0004456,0.0004456
58,233.701,1.13497,1.07737,1.09829,0.6461,0.79856,0.78931,0.55467,1.27797,1.21277,1.25329,0.0004357,0.0004357,0.0004357
59,237.492,1.06683,1.019,1.09771,0.63342,0.82196,0.79864,0.55031,1.32594,1.21378,1.2917,0.0004258,0.0004258,0.0004258
60,241.235,1.10163,1.01596,1.08379,0.64646,0.83843,0.81013,0.5317,1.32571,1.17179,1.29553,0.0004159,0.0004159,0.0004159
61,244.928,1.09283,0.96691,1.08212,0.61036,0.87262,0.78323,0.50348,1.33499,1.1289,1.28265,0.000406,0.000406,0.000406
62,248.663,1.01912,0.99987,1.05634,0.74388,0.73418,0.81027,0.51575,1.35773,1.12397,1.29459,0.0003961,0.0003961,0.0003961
63,252.319,1.05409,0.99753,1.09309,0.63041,0.87208,0.81009,0.48869,1.40753,1.12781,1.32466,0.0003862,0.0003862,0.0003862
64,256.102,1.05398,0.98809,1.08945,0.67277,0.79269,0.77522,0.4894,1.38182,1.14946,1.34121,0.0003763,0.0003763,0.0003763
65,259.772,1.03967,0.96495,1.05946,0.66548,0.73356,0.76231,0.52444,1.34287,1.12601,1.31141,0.0003664,0.0003664,0.0003664
66,263.543,0.99983,0.95801,1.05227,0.62317,0.77355,0.74665,0.5191,1.30927,1.11857,1.28789,0.0003565,0.0003565,0.0003565
67,267.388,1.06379,0.95723,1.07028,0.6184,0.82496,0.77154,0.52029,1.33738,1.1245,1.29046,0.0003466,0.0003466,0.0003466
68,271.088,1.04556,0.9238,1.08035,0.63795,0.83328,0.77667,0.50613,1.36467,1.14419,1.29416,0.0003367,0.0003367,0.0003367
69,274.91,1.04764,0.95567,1.07498,0.65194,0.85332,0.79316,0.52223,1.30107,1.14563,1.28278,0.0003268,0.0003268,0.0003268
70,278.645,1.01126,0.99287,1.06471,0.60929,0.84554,0.78802,0.51676,1.33886,1.15519,1.28182,0.0003169,0.0003169,0.0003169
71,282.377,1.01148,0.93093,1.03753,0.57781,0.89239,0.777,0.5048,1.34391,1.12751,1.27094,0.000307,0.000307,0.000307
