epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.465,1.62564,1.58699,1.33842,0.59649,0.7408,0.69349,0.35109,1.92822,1.52316,1.64677,0.000742625,0.000742625,0.000742625
43,163.014,1.56494,1.62341,1.33958,0.69095,0.64167,0.67336,0.34867,1.87171,1.58305,1.63605,0.00073025,0.00073025,0.00073025
44,166.399,1.44588,1.40222,1.26264,0.66987,0.6817,0.64704,0.3385,1.86296,1.55579,1.59064,0.000717875,0.000717875,0.000717875
45,169.727,1.58157,1.45205,1.31594,0.69108,0.70373,0.65268,0.34415,1.81705,1.47952,1.5971,0.0007055,0.0007055,0.0007055
46,173.065,1.40429,1.33649,1.27581,0.68192,0.7196,0.72824,0.38827,1.76729,1.35023,1.57587,0.000693125,0.000693125,0.000693125
47,176.624,1.39843,1.39061,1.24486,0.61804,0.69167,0.66993,0.36044,1.83294,1.31156,1.57336,0.00068075,0.00068075,0.00068075
48,180.073,1.45988,1.39222,1.24182,0.62773,0.67153,0.67638,0.37405,1.89065,1.39552,1.54601,0.000668375,0.000668375,0.000668375
49,183.629,1.51388,1.42755,1.24982,0.61231,0.69167,0.63892,0.37229,1.91387,1.49264,1.56807,0.000656,0.000656,0.000656
50,187.156,1.56847,1.35075,1.28496,0.6435,0.69167,0.64826,0.39838,1.86108,1.53458,1.55506,0.000643625,0.000643625,0.000643625
51,190.703,1.40838,1.29703,1.22475,0.81457,0.60006,0.7067,0.38544,1.88513,1.44893,1.61021,0.00063125,0.00063125,0.00063125
52,194.112,1.45095,1.36276,1.25161,0.71505,0.62081,0.66453,0.38772,1.83832,1.37738,1.63617,0.000618875,0.000618875,0.000618875
53,197.761,1.37467,1.24651,1.19854,0.76322,0.60674,0.68748,0.38969,1.81998,1.46949,1.63366,0.0006065,0.0006065,0.0006065
54,201.259,1.43084,1.34952,1.25945,0.78937,0.60772,0.70177,0.37547,1.83326,1.49952,1.64639,0.000594125,0.000594125,0.000594125
55,204.72,1.48588,1.27905,1.25667,0.73149,0.66667,0.69562,0.38965,1.8223,1.43306,1.61723,0.00058175,0.00058175,0.00058175
56,208.065,1.45464,1.30782,1.28098,0.69311,0.72948,0.72187,0.41992,1.82597,1.37031,1.56632,0.000569375,0.000569375,0.000569375
57,211.331,1.46036,1.29036,1.24402,0.7332,0.69167,0.73086,0.41654,1.85169,1.31596,1.54998,0.000557,0.000557,0.000557
58,214.66,1.36693,1.31112,1.20661,0.70797,0.64843,0.69544,0.37904,1.8678,1.33009,1.57623,0.000544625,0.000544625,0.000544625
59,217.993,1.36053,1.25338,1.23913,0.75439,0.65838,0.68471,0.37205,1.93429,1.27739,1.63053,0.00053225,0.00053225,0.00053225
60,221.606,1.35654,1.22072,1.15927,0.80419,0.685,0.70062,0.38232,1.88809,1.21453,1.63186,0.000519875,0.000519875,0.000519875
61,225.371,1.37146,1.2263,1.22825,0.68501,0.775,0.70732,0.38134,1.90059,1.21492,1.62385,0.0005075,0.0005075,0.0005075
62,228.721,1.38213,1.19295,1.20744,0.6816,0.77073,0.70922,0.38217,1.87928,1.23348,1.595,0.000495125,0.000495125,0.000495125
63,232.122,1.3335,1.17968,1.1609,0.78659,0.67998,0.69674,0.39005,1.87514,1.25154,1.59063,0.00048275,0.00048275,0.00048275
64,235.862,1.28297,1.13722,1.15317,0.75115,0.654,0.66835,0.38386,1.87788,1.30654,1.6385,0.000470375,0.000470375,0.000470375
65,239.481,1.38504,1.26952,1.2017,0.75492,0.63658,0.66199,0.39554,1.84035,1.3225,1.64011,0.000458,0.000458,0.000458
66,242.757,1.46026,1.26549,1.24584,0.87876,0.62522,0.6758,0.40876,1.82497,1.20239,1.64861,0.000445625,0.000445625,0.000445625
67,246.428,1.22833,1.09943,1.16523,0.82554,0.65278,0.72056,0.42326,1.90976,1.17757,1.69976,0.00043325,0.00043325,0.00043325
68,250.014,1.39327,1.11553,1.21981,0.88052,0.61667,0.69872,0.41597,1.91004,1.20685,1.70289,0.000420875,0.000420875,0.000420875
69,253.283,1.29328,1.12669,1.15635,0.87724,0.61667,0.69464,0.3964,1.8516,1.28292,1.66741,0.0004085,0.0004085,0.0004085
70,256.576,1.31855,1.15623,1.18014,0.84435,0.64167,0.71596,0.3873,1.8388,1.32042,1.66601,0.000396125,0.000396125,0.000396125
71,260.206,1.28163,1.16023,1.16997,0.80064,0.66667,0.66584,0.38987,1.82894,1.34556,1.64658,0.00038375,0.00038375,0.00038375
72,263.488,1.33282,1.10282,1.19773,0.78232,0.66667,0.66284,0.38953,1.82722,1.3142,1.63901,0.000371375,0.000371375,0.000371375
